car_full_nm,car_0_60_time_seconds
Maserati Ghibli S Q4 3.0 V6 Turbo - [2013],4.7
Mazda RX7 Type-R Bathurst - [2002],4.7
Mercedes SL Class 55 AMG V8 R230 - [2001],4.7
Mitsubishi Lancer Evo V GSR - [1998],4.7
Pontiac G8 GXP 6.2 V8 - [2008],4.7
Porsche 968 3.0 Turbo S - [1993],4.7
Porsche Boxster GTS - [2014],4.7
Porsche Cayenne 4.8 Turbo - [2007],4.7
Porsche Macan 3.6 Turbo - [2013],4.7
Rolls-Royce Ghost 6.6L V12 - [2009],4.7
Subaru Impreza P1 - Classic - [2000],4.7
Subaru Impreza S201 STI - [2000],4.7
Subaru Impreza WRX - Classic (JDM) - [1996],4.7
Subaru Impreza WRX - Classic (JDM) - [1997],4.7
Subaru Impreza WRX - Classic (JDM) - [1999],4.7
Subaru Impreza WRX STI V1 - Classic (JDM) - [1994],4.7
Subaru Impreza WRX STI V3 Type R - JDM - Classic - [1997],4.7
Subaru Impreza WRX STI V3 V-Limited - Classic (JDM) - [1997],4.7
Subaru Impreza WRX STI V4 - Classic (JDM) - [1997],4.7
Subaru Impreza WRX STI V5 Type R - JDM - Classic - [1998],4.7
Subaru Impreza WRX STI V5 Type RA - JDM - Classic - [1998],4.7
Subaru Impreza WRX STI V5 V-Limited - Classic (JDM) - [1998],4.7
Subaru Impreza WRX STI V6 - Classic (JDM) - [1999],4.7
Subaru Impreza WRX STI V6 Type RA - JDM - Classic - [1999],4.7
Subaru Impreza WRX Type RA - Classic (JDM) - [1994],4.7
